OBJECTID,XGCSWGS84,YGCSWGS84,UKATEGORIE
95528,11.600212223,48.10775156300009,2
96125,11.502642961,48.103057052000096,2
96546,11.479027554,48.115469026,2
97196,11.3941090760001,48.1461713800001,2
97203,11.5349833650001,48.143795168000096,2
97305,11.403639765,48.13995659500009,2
97502,11.5795119960001,48.10806398300009,2
97583,11.5974333200001,48.1736841850001,2
98592,11.596601333,48.163125307,2
99082,11.6165496130001,48.088692273,2
99144,11.6623669260001,48.13914266100009,2
99733,11.581699746,48.105842864000095,2
100080,11.4188811930001,48.14215970400009,2
100280,11.533251228,48.1332021800001,2
100604,11.614787101,48.135947119,2
101431,11.568448592,48.1769523510001,2
101817,11.528097975,48.079850622,2
101938,11.6522605440001,48.094647344000094,2
102213,11.59746439,48.167346309,2
102275,11.504401945,48.103728151,2
103139,11.62454896,48.184910598,2
103567,11.570058214,48.1113738930001,2
103635,11.543136082,48.200575114000095,2
104621,11.5188692150001,48.14136547300009,2
104809,11.70296376,48.112679368,2
104893,11.563486848,48.095916815000095,2
104976,11.4873941020001,48.085972311,2
105226,11.533995915,48.140166872000094,2
105592,11.4531302570001,48.1468828390001,2
105685,11.6592450840001,48.09157836800009,2
105712,11.5219215340001,48.123749492000094,2
106079,11.474493937,48.145311116000094,2
106523,11.6515943000001,48.104358038,2
107214,11.6177839330001,48.130589393,2
107609,11.630122009,48.138487930000096,2
107622,11.4023196210001,48.158089374,2
108368,11.5974718690001,48.167357166,2
108562,11.5993866920001,48.1075635940001,2
108651,11.584308407,48.1896308610001,2
108663,11.478884437,48.1451982030001,2
108847,11.538477877,48.171277724,2
108998,11.6450205520001,48.089264482,2
109027,11.504193216,48.215844411,2
109338,11.651635335,48.1044466590001,2
109441,11.6001710950001,48.1759897850001,2
109566,11.524241546,48.14068520400009,2
110198,11.6135191270001,48.15346191,2
110213,11.688549439,48.117962636000094,2
110623,11.4179379820001,48.142024469,2
111199,11.4557138380001,48.1627433400001,2
111331,11.401473824,48.157384128,2
112201,11.5374485830001,48.157513613,2
113016,11.485690246,48.08681164000009,2
113801,11.552755919,48.082588266000094,2
114275,11.607975708,48.109030422,2
114434,11.6004545550001,48.160721036,2
