,XGCSWGS84,YGCSWGS84,UKATEGORIE
80062,11.419548289000032,48.17055051800003,3
80085,11.615086276000056,48.11212382000008,3
80089,11.620206808000034,48.130240281000056,3
80103,11.406325958000023,48.12809185100008,3
80136,11.476778569000032,48.14526309300004,3
80149,11.592560351000031,48.17562883600005,3
80155,11.585487858000022,48.17737099800007,3
80192,11.618827654000029,48.15734674800007,3
80199,11.539070088000074,48.17274610300007,3
80211,11.488367062000066,48.08547242900005,3
80239,11.537263993000067,48.15735558200004,3
80250,11.584386670000072,48.18868704400006,3
80305,11.510800155000029,48.12501021100008,3
80328,11.49736454500004,48.21180419700005,3
80353,11.487039773000047,48.08656952800004,3
80356,11.549614648000045,48.19036275900004,3
80360,11.502047098000048,48.19288563100008,3
80369,11.490689774000032,48.08480384600006,3
80372,11.513901073000056,48.11320398200007,3
80425,11.644706358000064,48.12603195600008,2
80449,11.651456862000032,48.10471502900003,3
80535,11.541158776000032,48.22607405000008,3
80541,11.538106494000033,48.110592782000026,3
80548,11.416414451000035,48.14180769800004,3
80557,11.637989375000076,48.12667000400006,3
80563,11.453893454000024,48.14785938400007,3
80662,11.49456297000006,48.11225540600003,3
80717,11.501644432000036,48.12590017000008,3
80722,11.429150639000056,48.183569515000045,3
80779,11.683708549000071,48.11835831900004,3
80806,11.546783383000047,48.17616708800006,3
80933,11.617365753000058,48.114537263000045,3
80935,11.409416970000052,48.140803479000056,2
80960,11.508070306000036,48.10558725300008,3
80961,11.537992055000077,48.16602578700008,3
80970,11.533871161000036,48.187005545000034,3
80974,11.556800290000067,48.17841215300008,3
80976,11.521321561000036,48.090486785000046,3
80980,11.614535998000065,48.13834489600004,2
81035,11.541001307000045,48.09394671000008,3
81036,11.46152324700006,48.17681338900008,2
81039,11.584376766000048,48.19588212300005,3
81052,11.498974786000076,48.14350482300006,3
81060,11.601266511000064,48.17713767700008,2
81065,11.58163640300006,48.10590965600005,3
81090,11.534423625000043,48.14166778300006,3
81111,11.587116070000036,48.210612473000026,3
81116,11.634594317000053,48.12729872400007,3
81211,11.493436802000076,48.14403377700006,3
81370,11.419173586000056,48.17030052200005,3
81380,11.480253245000029,48.216714895000045,3
81387,11.651543626000034,48.10450708400003,3
81423,11.581636566000045,48.10590949200008,3
81459,11.616700550000076,48.225847111000064,3
81469,11.47032335700004,48.12379884400008,3
81470,11.53474346300004,48.18700819500003,3
81476,11.517679740000062,48.06844547700008,3
81479,11.627307983000035,48.21695965400005,3
81511,11.53735111900005,48.151681721000045,3
81550,11.535128974000031,48.18691382500003,3
81569,11.683410590000053,48.11840211100008,3
81582,11.53117168500006,48.140278428000045,3
81608,11.585058754000045,48.17796352700003,3
81636,11.494822937000038,48.14389891200005,3
81641,11.577892475000056,48.11023219400005,2
81653,11.570401479000054,48.17751488700002,3
81654,11.512295056000028,48.10772603100003,3
81798,11.636802345000037,48.138733356000046,3
81867,11.541419569000029,48.09641130300008,3
81888,11.502983691000054,48.142964465000034,3
81934,11.530252010000028,48.14033803300004,3
81969,11.635493524000026,48.21791236500008,3
81978,11.60769682800003,48.22766456100004,3
81987,11.70235591200003,48.11280750800007,2
81988,11.706232230000069,48.11199126900004,2
81991,11.536095603000035,48.18691343500007,3
82001,11.584347728000068,48.18768740200005,3
82051,11.616257638000036,48.14976711600008,3
82080,11.617292071000064,48.11465525600005,3
82186,11.508823460000032,48.12528033500007,3
82248,11.53755798800006,48.15972185800007,3
