OBJECTID,XGCSWGS84,YGCSWGS84,UKATEGORIE
95163,11.6041410560001,48.10855981,3
95440,11.5398317880001,48.180074447,3
95807,11.3922897470001,48.14613181800009,3
95989,11.616155626,48.133848251000096,3
96015,11.395873022,48.140887263000096,3
96521,11.585252014,48.201044621000094,3
96597,11.512305794,48.1077314780001,3
96623,11.4634898350001,48.208439652,3
96635,11.4883991240001,48.0861145270001,3
96662,11.4116803860001,48.141131643000094,3
96667,11.488294878,48.209306185000095,3
96697,11.5227816660001,48.075011303000096,3
96709,11.392317371,48.14613250000009,3
96728,11.582861597,48.104756780000095,3
96729,11.6206121050001,48.137519303,3
96754,11.619003919,48.118059573,3
96759,11.627874961,48.22251292,3
96772,11.643550647,48.12618651700009,3
96812,11.583814997,48.177607886,3
96883,11.542891352,48.110877873,3
96902,11.646299244,48.105180884,3
96955,11.503655462,48.2155419920001,3
97015,11.6028930700001,48.1579735220001,3
97021,11.484783361,48.212586211,3
97166,11.5366771650001,48.14881172,3
97174,11.5368326350001,48.1508164590001,3
97191,11.585042894,48.1781986710001,3
97199,11.5243103400001,48.076225439,3
97209,11.619975529,48.202749586,3
97302,11.518647383,48.141309838,3
97344,11.538855062,48.1721484670001,3
97350,11.5364079820001,48.2256813490001,3
97387,11.595418377,48.1784020430001,3
97403,11.544271166,48.111383489,3
97411,11.4749110240001,48.145302802000096,3
97421,11.4542410340001,48.137319281,3
97426,11.599490744,48.107585186000094,3
97440,11.615674644,48.153582026,3
97457,11.6156252700001,48.143598303,3
97481,11.5845179840001,48.186599747000095,3
97489,11.520790408,48.12456251700009,3
97509,11.6207507180001,48.1066418780001,3
97514,11.4095230460001,48.140818860000095,3
97531,11.689151042,48.140286475,3
97647,11.423768189,48.173924791,3
97739,11.7093834360001,48.111479584000094,3
97744,11.532517055,48.224984681000095,3
97749,11.482275364,48.214865065,3
97751,11.5796080050001,48.107869880000095,3
97756,11.6151384460001,48.112024526,3
97782,11.46146645,48.179170906000095,3
97785,11.4255993420001,48.185743777,3
97871,11.4532258470001,48.1468947490001,3
97891,11.5541510370001,48.085552955,3
97898,11.615106616,48.1121398440001,3
97953,11.6251387360001,48.129436297,3
98064,11.567744733,48.176740170000095,3
98070,11.485325925,48.11415427200009,3
98074,11.615948082,48.130960015,3
98083,11.5372141290001,48.15662794800009,3
98099,11.615893876,48.130894444,3
98175,11.683361919,48.118520958,3
98206,11.601482397,48.15977484100009,3
98210,11.6367424760001,48.104863608000095,3
98253,11.4980609830001,48.1005452040001,3
98262,11.533016199,48.1400498410001,3
98268,11.62861815,48.219608615,3
98321,11.6016232000001,48.17731019600009,3
98375,11.626060164,48.1010121570001,3
98392,11.5797873550001,48.107878337,3
98409,11.534753226,48.142897469,3
98418,11.4129539080001,48.1661943720001,3
98449,11.541314562,48.186405798000095,3
98454,11.557591797,48.090603303000094,3
98455,11.586025772,48.204180197,3
98494,11.6449559000001,48.1259974180001,3
98505,11.5594947290001,48.1125951720001,3
98528,11.575680947,48.178018159,3
